"Parcel" "box1" "box2" "Subparcel"
"1442" 144 155 154 "144_3"
"1443" 144 154 151 "144_4"
"145" 145 150 149 "145_1"
"1451" 145 149 156 "145_2"
"1452" 145 156 155 "145_3"
"1453" 145 155 150 "145_4"
"146" 146 149 148 "146_1"
"1461" 146 148 157 "146_2"
"1462" 146 157 156 "146_3"
"1463" 146 156 149 "146_4"
"147" 147 148 147 "147_1"
"1471" 147 147 158 "147_2"
"1472" 147 158 157 "147_3"
"1473" 147 157 148 "147_4"
"148" 148 147 146 "148_1"
"1481" 148 146 159 "148_2"
"1482" 148 159 158 "148_3"
"1483" 148 158 147 "148_4"
"149" 149 146 145 "149_1"
"1491" 149 145 160 "149_2"
"1492" 149 160 159 "149_3"
"1493" 149 159 146 "149_4"
"150" 150 145 144 "150_1"
"1501" 150 144 161 "150_2"
"1502" 150 161 160 "150_3"
"1503" 150 160 145 "150_4"
"1514" 151 144 143 "151_1"
"1511" 151 143 162 "151_2"
"1512" 151 162 161 "151_3"
"1513" 151 161 144 "151_4"
"1524" 152 143 142 "152_1"
"1521" 152 142 163 "152_2"
"1522" 152 163 162 "152_3"
"1523" 152 162 143 "152_4"
"1534" 153 142 141 "153_1"
"1531" 153 141 164 "153_2"
"1532" 153 164 163 "153_3"
"1533" 153 163 142 "153_4"
"154" 154 141 140 "154_1"
"1541" 154 140 164 "154_2"
"1542" 154 164 141 "154_3"
"155" 155 140 139 "155_1"
"1551" 155 139 165 "155_2"
"1552" 155 165 164 "155_3"
"1553" 155 164 140 "155_4"
"156" 156 139 165 "156_1"
"157" 157 138 139 "157_1"
"158" 158 137 138 "158_1"
"1581" 158 138 139 "158_2"
"1582" 158 139 140 "158_3"
"1583" 158 140 137 "158_4"
"159" 159 136 137 "159_1"
"1591" 159 137 140 "159_2"
"1592" 159 140 141 "159_3"
"1593" 159 141 136 "159_4"
"160" 160 135 136 "160_1"
"1601" 160 136 141 "160_2"
"1602" 160 141 142 "160_3"
"1603" 160 142 135 "160_4"
"1614" 161 134 135 "161_1"
"1611" 161 135 142 "161_2"
"1612" 161 142 143 "161_3"
"1613" 161 143 134 "161_4"
"1624" 162 133 134 "162_1"
"1621" 162 134 143 "162_2"
"1622" 162 143 144 "162_3"
"1623" 162 144 133 "162_4"
"163" 163 132 133 "163_1"
"1631" 163 133 144 "163_2"
"1632" 163 144 145 "163_3"
"1633" 163 145 132 "163_4"
"164" 164 131 132 "164_1"
"1641" 164 132 145 "164_2"
"1642" 164 145 146 "164_3"
"1643" 164 146 131 "164_4"
"165" 165 130 131 "165_1"
"1651" 165 131 146 "165_2"
"1652" 165 146 147 "165_3"
"1653" 165 147 130 "165_4"
"166" 166 129 130 "166_1"
"1661" 166 130 147 "166_2"
"1662" 166 147 148 "166_3"
"1663" 166 148 129 "166_4"
"167" 167 128 129 "167_1"
"1671" 167 129 148 "167_2"
"1672" 167 148 149 "167_3"
"1673" 167 149 128 "167_4"
"168" 168 127 128 "168_1"
"1681" 168 128 149 "168_2"
"1682" 168 149 150 "168_3"
"1683" 168 150 127 "168_4"
"169" 169 126 127 "169_1"
"1691" 169 127 150 "169_2"
"1692" 169 150 151 "169_3"
"1693" 169 151 126 "169_4"
"170" 170 126 151 "170_1"
"1701" 170 151 152 "170_2"
"1702" 170 152 126 "170_3"
"171" 171 126 152 "171_1"
"172" 172 125 126 "172_1"
"173" 173 125 124 "173_1"
"1731" 173 124 127 "173_2"
"1732" 173 127 126 "173_3"
"1733" 173 126 125 "173_4"
"174" 174 124 123 "174_1"
"1741" 174 123 128 "174_2"
"1742" 174 128 127 "174_3"
"1743" 174 127 124 "174_4"
"175" 175 123 122 "175_1"
"1751" 175 122 129 "175_2"
"1752" 175 129 128 "175_3"
"1753" 175 128 123 "175_4"
"176" 176 122 121 "176_1"
"1761" 176 121 130 "176_2"
"1762" 176 130 129 "176_3"
"1763" 176 129 122 "176_4"
"177" 177 121 120 "177_1"
"1771" 177 120 131 "177_2"
"1772" 177 131 130 "177_3"
"1773" 177 130 121 "177_4"
"178" 178 120 119 "178_1"
"1781" 178 119 132 "178_2"
"1782" 178 132 131 "178_3"
"1783" 178 131 120 "178_4"
"179" 179 119 118 "179_1"
"1791" 179 118 133 "179_2"
"1792" 179 133 132 "179_3"
"1793" 179 132 119 "179_4"
"180" 180 118 117 "180_1"
"1801" 180 117 134 "180_2"
"1802" 180 134 133 "180_3"
"1803" 180 133 118 "180_4"
"181" 181 117 116 "181_1"
"1811" 181 116 135 "181_2"
"1812" 181 135 134 "181_3"
"1813" 181 134 117 "181_4"
"182" 182 116 115 "182_1"
"1821" 182 115 136 "182_2"
"1822" 182 136 135 "182_3"
"1823" 182 135 116 "182_4"
"183" 183 115 114 "183_1"
"1831" 183 114 137 "183_2"
"1832" 183 137 136 "183_3"
"1833" 183 136 115 "183_4"
"184" 184 114 113 "184_1"
"1841" 184 113 138 "184_2"
"1842" 184 138 137 "184_3"
"1843" 184 137 114 "184_4"
"185" 185 113 112 "185_1"
"1851" 185 112 138 "185_2"
"1852" 185 138 113 "185_3"
"186" 186 112 138 "186_1"
"187" 187 111 112 "187_1"
"188" 188 110 111 "188_1"
"1881" 188 111 112 "188_2"
"1882" 188 112 113 "188_3"
"1883" 188 113 110 "188_4"
"189" 189 109 110 "189_1"
"1891" 189 110 113 "189_2"
"1892" 189 113 114 "189_3"
"1893" 189 114 109 "189_4"
"190" 190 108 109 "190_1"
"1901" 190 109 114 "190_2"
"1902" 190 114 115 "190_3"
"1903" 190 115 108 "190_4"
"191" 191 107 108 "191_1"
"1911" 191 108 115 "191_2"
"1912" 191 115 116 "191_3"
"1913" 191 116 107 "191_4"
"192" 192 106 107 "192_1"
"1921" 192 107 116 "192_2"
"1922" 192 116 117 "192_3"
"1923" 192 117 106 "192_4"
"193" 193 105 106 "193_1"
"1931" 193 106 117 "193_2"
"1932" 193 117 118 "193_3"
"1933" 193 118 105 "193_4"
"194" 194 104 105 "194_1"
"1941" 194 105 118 "194_2"
"1942" 194 118 119 "194_3"
"1943" 194 119 104 "194_4"
"195" 195 103 104 "195_1"
"1951" 195 104 119 "195_2"
"1952" 195 119 120 "195_3"
"1953" 195 120 103 "195_4"
"196" 196 102 103 "196_1"
"1961" 196 103 120 "196_2"
"1962" 196 120 121 "196_3"
"1963" 196 121 102 "196_4"
"197" 197 101 102 "197_1"
"1971" 197 102 121 "197_2"
"1972" 197 121 122 "197_3"
"1973" 197 122 101 "197_4"
"198" 198 100 101 "198_1"
"1981" 198 101 122 "198_2"
"1982" 198 122 123 "198_3"
"1983" 198 123 100 "198_4"
"199" 199 99 100 "199_1"
"1991" 199 100 123 "199_2"
"1992" 199 123 124 "199_3"
"1993" 199 124 99 "199_4"
"200" 200 98 99 "200_1"
"2001" 200 99 124 "200_2"
"2002" 200 124 125 "200_3"
"2003" 200 125 98 "200_4"
"201" 201 98 125 "201_1"
"202" 202 97 98 "202_1"
"203" 203 97 96 "203_1"
"2031" 203 96 99 "203_2"
"2032" 203 99 98 "203_3"
"2033" 203 98 97 "203_4"
"204" 204 96 95 "204_1"
"2041" 204 95 100 "204_2"
"2042" 204 100 99 "204_3"
"2043" 204 99 96 "204_4"
"205" 205 95 94 "205_1"
