"","ID","transponder"
"446","B2V8712","24F7C4B43A6F0001"
"447","B2V8713","3A23C4B43A6F0001"
"448","B2V8714","41D524B43A6F0001"
"449","B2X4466","37D924B43A6F0001"
"450","B2X3851","B0E524B43A6F0001"
"451","B2V8493","5A76C4B43A6F0001"
"452","B2V8798","2FDDC4B43A6F0001"
"453","B2V8797","86F524B43A6F0001"
"454","B2V8026","5F46C4B43A6F0001"
"455","B2X4355","DF9924B43A6F0001"
"456","B2X3700","391D24B43A6F0001"
"457","B2V8479","FBA524B43A6F0001"
"458","B2V8715","E4A224B43A6F0001"
"459","B2X4102","BE9EC4B43A6F0001"
"460","B2V8716","EB3EC4B43A6F0001"
"461","B2X3862","1C6524B43A6F0001"
"462","B2V8717","257124B43A6F0001"
"463","B2X4598","207524B43A6F0001"
"464","B2X3924","79AAC4B43A6F0001"
"465","B2X3923","BDA924B43A6F0001"
"466","B2X4112","CFCD24B43A6F0001"
"467","B2X3922","D90DC4B43A6F0001"
"468","B2X3624","BB4924B43A6F0001"
"469","B2X3625","FE16C4B43A6F0001"
"470","B2X4923","2683C4B43A6F0001"
"471","B2X4924","1303C4B43A6F0001"
"472","B2X4925","842D24B43A6F0001"
"473","B2X4898","DDA5C4B43A6F0001"
"474","B2X4926","EFCEC4B43A6F0001"
"475","B2X4927","7719C4B43A6F0001"
"476","B2X4928","BBF524B43A6F0001"
"477","B2X4627","C583C4B43A6F0001"
"478","B2X4346","C69924B43A6F0001"
"479","B2X4929","012524B43A6F0001"
"480","B1V5072","4EB9C4B43A6F0001"
"481","B2X4900","188524B43A6F0001"
"482","B2X4930","A3EDC4B43A6F0001"
"483","B2X4920","7AAAC4B43A6F0001"
"484","B2X4931","45CEC4B43A6F0001"
"485","B2X4932","BFED24B43A6F0001"
"486","B2X4934","76C524B43A6F0001"
"487","B2X4935","5CA924B43A6F0001"
"488","B2X4936","A30924B43A6F0001"
"489","B2X4937","23ED24B43A6F0001"
"490","B2V8901","BE76C4B43A6F0001"
"491","B2X4933","A68DC4B43A6F0001"
"492","B2X4938","24B924B43A6F0001"
"493","B2X4466","B3A5C4B43A6F0001"
"494","B2X7001","F8D524B43A6F0001"
"495","B2V8802","A7A524B43A6F0001"
"496","B2V8803","D47124B43A6F0001"
"497","B2V8788","A46AC4B43A6F0001"
"498","B2V8789","4576C4B43A6F0001"
"499","B2V8790","3C23C4B43A6F0001"
"500","B2V8804","C3F124B43A6F0001"
"501","B2V8805","436524B43A6F0001"
"502","B2V8952","5A05C4B43A6F0001"
"503","B2X4896","2235C4B43A6F0001"
"504","B2V8806","D35524B43A6F0001"
"505","B2V8807","BAE9C4B43A6F0001"
"506","B2X4675","9E5824B43A6F0001"
"507","B2V8791","E5DDC4B43A6F0001"
"508","B2V8792","842DC4B43A6F0001"
"509","B2V8793","3CAD24B43A6F0001"
"510","B2X4949","79C6C4B43A6F0001"
"511","B2X4551","1A2DC4B43A6F0001"
"512","B2X4897","BDD5C4B43A6F0001"
"513","B2X4891","D42D24B43A6F0001"
"514","B2X4892","28D5C4B43A6F0001"
"515","B2X4893","C176C4B43A6F0001"
"516","B2X4894","631D24B43A6F0001"
"517","B2X4895","582D24B43A6F0001"
"518","B2X3686","A459C4B43A6F0001"
"519","B2X4899","28BDC4B43A6F0001"
"520","B2X4466","900110000015631"
"521","B1V5533","AA3AC4B43A6F0001"
"522","B2X4466","731D24B43A6F0001"
"523","B2X4600","900110000014808"
"524","B2X3839","C6CEC4B43A6F0001"
"525","B2X4599","A22D24B43A6F0001"
"526","B2V8763","F65524B43A6F0001"
"527","B2V8764","F1F524B43A6F0001"
"528","B2V8765","19D524B43A6F0001"
"529","B2X3013","E85924B43A6F0001"
"530","B2X4223","900110000014607"
"531","B2V8766","4EDDC4B43A6F0001"
"532","B2X4890","952EC4B43A6F0001"
"533","B2X4466","A9AAC4B43A6F0001"
"534","B2X4037","743924B43A6F0001"
"535","B2V8802","6525C4B43A6F0001"
"536","B2V8781","E8F9C4B43A6F0001"
"537","B2X4954","6183C4B43A6F0001"
"538","B2X7402","0325C4B43A6F0001"
"539","B2X4037","7FA924B43A6F0001"
"540","B2V8792","42CEC4B43A6F0001"
"541","B2X4037","9A9924B43A6F0001"
"542","B2V8645","17B9C4B43A6F0001"
"543","B2V8794","F765C4B43A6F0001"
"544","B2V8645","A3B6C4B43A6F0001"
"545","B2X4950","1AD5C4B43A6F0001"
"546","B2X4951","70BDC4B43A6F0001"
"547","B2X4952","8E7524B43A6F0001"
"548","B2X4953","81EDC4B43A6F0001"
"549","B2V8781","9EF9C4B43A6F0001"
"550","B2X7201","7BA5C4B43A6F0001"
"551","B2X4954","AD83C4B43A6F0001"
"552","B2V8818","57A5C4B43A6F0001"
"553","B2V8819","AC9DC4B43A6F0001"
"554","B2X7110","D079C4B43A6F0001"
"555","B2V8820","19E6C4B43A6F0001"
"556","B2V8821","C2D5C4B43A6F0001"
"557","B2X7281","3A1524B43A6F0001"
"558","B2V8822","8C5924B43A6F0001"
"559","B2V8823","09BDC4B43A6F0001"
"560","B2V8824","5A5524B43A6F0001"
"561","B2V8825","1B86C4B43A6F0001"
"562","B2V8826","2E2524B43A6F0001"
"563","B2V8621","84C924B43A6F0001"
"564","B2V8827","2C2524B43A6F0001"
"565","B2X7112","B8D524B43A6F0001"
"566","B2X7046","0CE524B43A6F0001"
"567","B2X7617","776CE7D001AF0001"
"568","B2X7185","DE4924B43A6F0001"
"569","B2X4943","B246C4B43A6F0001"
"570","B2X7357","7E72C4B43A6F0001"
"571","B2V8830","0A0524B43A6F0001"
"572","B2X7407","3216C4B43A6F0001"
"573","B2X7042","0C5224B43A6F0001"
"574","B2X7309","843124B43A6F0001"
"575","B2X7340","456CE7D001AF0001"
"576","B2X7608","836CE7D001AF0001"
"577","B2X4969","6B4924B43A6F0001"
"578","B2V8683","A7A924B43A6F0001"
"579","B2X4977","51E6C4B43A6F0001"
