"year_","box1","box2","no"
2021,7,4,2
2021,7,10,2
2021,7,31,2
2021,7,32,2
2021,7,41,2
2021,7,61,2
2021,7,43,2
2021,7,44,2
2021,7,63,2
2021,10,7,2
2021,10,24,2
2021,10,30,2
2021,10,41,2
2021,10,61,2
2021,10,43,2
2021,10,46,2
2021,10,74,2
2021,10,75,2
2021,10,76,2
2021,11,14,2
2021,12,14,2
2021,11,28,2
2021,12,28,2
2021,11,43,2
2021,12,43,2
2021,11,48,2
2021,12,48,2
2021,11,55,2
2021,12,55,2
2021,11,74,2
2021,12,74,2
2021,11,75,2
2021,12,75,2
2021,11,76,2
2021,12,76,2
2021,11,77,2
2021,12,77,2
2021,11,78,2
2021,12,78,2
2021,14,11,2
2021,14,12,2
2021,14,17,2
2021,14,46,2
2021,14,52,2
2021,14,55,2
2021,14,80,2
2021,14,81,2
2021,17,14,2
2021,17,48,2
2021,17,80,2
2021,17,81,2
2021,18,21,2
2021,18,49,2
2021,18,81,2
2021,21,18,2
2021,49,18,2
2021,21,24,2
2021,49,24,2
2021,21,46,2
2021,49,46,2
2021,21,55,2
2021,49,55,2
2021,21,85,2
2021,49,85,2
2021,21,111,2
2021,49,111,2
2021,24,10,2
2021,24,21,2
2021,24,49,2
2021,24,44,2
2021,24,55,2
2021,24,76,2
2021,24,77,2
2021,24,78,2
2021,24,80,2
2021,28,6,2
2021,28,11,2
2021,28,12,2
2021,28,31,2
2021,28,46,2
2021,28,63,2
2021,28,71,2
2021,28,73,2
2021,28,74,2
2021,28,75,2
2021,28,76,2
2021,30,4,2
2021,30,10,2
2021,30,32,2
2021,30,38,2
2021,30,43,2
2021,30,44,2
2021,30,64,2
2021,30,70,2
2021,30,71,2
2021,30,73,2
2021,31,4,2
2021,31,7,2
2021,31,28,2
2021,31,34,2
2021,31,41,2
2021,31,61,2
2021,31,64,2
2021,31,68,2
2021,31,70,2
2021,31,71,2
2021,32,1,2
2021,32,7,2
2021,32,30,2
2021,32,34,2
2021,32,63,2
2021,32,64,2
2021,32,68,2
2021,34,6,2
2021,34,31,2
2021,34,32,2
2021,34,63,2
2021,34,64,2
2021,34,96,2
2021,35,4,2
2021,36,4,2
2021,35,38,2
2021,36,38,2
2021,35,64,2
2021,36,64,2
2021,35,96,2
2021,36,96,2
2021,38,1,2
2021,38,6,2
2021,38,30,2
2021,38,35,2
2021,38,36,2
2021,38,41,2
2021,38,61,2
2021,38,70,2
2021,38,71,2
2021,38,96,2
2021,41,6,2
2021,61,6,2
2021,41,7,2
2021,61,7,2
2021,41,10,2
2021,61,10,2
2021,41,31,2
2021,61,31,2
2021,41,38,2
2021,61,38,2
2021,41,44,2
2021,61,44,2
2021,41,64,2
2021,61,64,2
2021,41,70,2
2021,61,70,2
2021,41,74,2
2021,61,74,2
2021,41,75,2
2021,61,75,2
2021,41,100,2
2021,61,100,2
2021,41,101,2
2021,61,101,2
2021,41,102,2
2021,61,102,2
2021,41,103,2
2021,61,103,2
2021,43,7,2
2021,43,10,2
2021,43,11,2
2021,43,12,2
2021,43,30,2
2021,43,46,2
2021,43,63,2
2021,43,71,2
2021,43,76,2
2021,43,102,2
2021,43,103,2
2021,43,106,2
2021,43,120,2
2021,44,7,2
2021,44,24,2
2021,44,30,2
2021,44,41,2
2021,44,61,2
2021,44,48,2
2021,44,55,2
2021,44,73,2
2021,44,77,2
2021,44,78,2
2021,44,103,2
2021,44,106,2
2021,44,120,2
2021,46,10,2
2021,46,14,2
2021,46,21,2
2021,46,49,2
2021,46,28,2
2021,46,43,2
2021,46,74,2
2021,46,75,2
2021,46,80,2
2021,46,85,2
2021,46,106,2
2021,46,108,2
2021,46,116,2
2021,48,11,2
2021,48,12,2
2021,48,17,2
2021,48,44,2
2021,48,52,2
2021,48,76,2
2021,48,77,2
2021,48,78,2
2021,48,81,2
2021,48,85,2
2021,48,111,2
2021,52,14,2
2021,52,48,2
2021,52,80,2
2021,52,111,2
2021,55,11,2
2021,55,12,2
2021,55,14,2
2021,55,21,2
2021,55,49,2
2021,55,24,2
2021,55,44,2
2021,55,76,2
2021,55,77,2
2021,55,81,2
2021,55,108,2
2021,55,111,2
2021,55,113,2
2021,63,4,2
2021,63,6,2
2021,63,7,2
2021,63,28,2
2021,63,32,2
2021,63,34,2
2021,63,43,2
2021,63,68,2
2021,63,73,2
2021,63,96,2
2021,63,100,2
2021,63,101,2
2021,63,102,2
2021,64,4,2
2021,64,30,2
2021,64,31,2
2021,64,32,2
2021,64,34,2
