"","ID","sex"
"959","B1P5975",1
"960","X01027407",1
"961","B2F5321",2
"962","B2F5322",2
"963","B2F5323",1
"964","B2F5324",2
"965","B2F5325",2
"966","B2F5327",2
"967","B2F5328",1
"968","B2F5329",2
"969","B2F5330",1
"970","B2F5331",1
"971","B2F5332",2
"972","B1V5548",2
"973","X01027507",2
"974","B2F5447",2
"975","B2F5448",1
"976","B2F5449",1
"977","B2F5450",2
"978","B2F5451",1
"979","B2F5452",2
"980","B2F5453",1
"981","B2F5454",2
"982","B2F5455",1
"983","B2F5456",1
"984","B2F5457",1
"985","B1P5983",2
"986","B1V5489",1
"987","B2V8115",1
"988","B2V8116",1
"989","B2V8117",2
"990","B2V8118",1
"991","B2V8119",1
"992","B2V8120",2
"993","B2V8121",2
"994","B2V8122",1
"995","B2V8123",2
"996","B1V5469",2
"997","B1P5976",1
"998","X01027707",2
"999","X02027707",1
"1000","B2V8329",2
"1001","B2V8330",1
"1002","B2V8331",1
"1003","B2V8332",1
"1004","B2V8333",2
"1005","B2V8334",1
"1006","B2V8335",1
"1007","B2V8336",1
"1008","B2V8337",2
"1009","B2V8338",1
"1010","B1P5978",2
"1011","B1P5987",2
"1012","B1P5988",2
"1013","B1P5970",2
"1014","B1P5973",1
"1015","B1P5979",2
"1016","B1P5991",2
"1017","B1P5974",1
"1018","X01000007",2
"1019","B2X3101",1
"1020","B2X3102",2
"1021","B2X3103",2
"1022","B2X3104",1
"1023","B2X3105",1
"1024","B2X3106",2
"1025","B2X3107",2
"1026","B2X3108",1
"1027","B2X3109",2
"1028","B2X3800",1
"1029","X01000308",1
"1030","X03000308",1
"1031","X04000308",2
"1032","X05000308",2
"1033","X07000308",1
"1034","X09000308",1
"1035","B2X3072",1
"1036","B2X3070",2
"1037","B2X3474",2
"1038","B2X3475",2
"1039","B2X3476",1
"1040","B2X3477",1
"1041","B2X3478",2
"1042","B2X3479",2
"1043","B2X3480",1
"1044","B2X3084",2
"1045","B2X3085",1
"1046","X01000608",1
"1047","X02000608",1
"1048","X03000608",1
"1049","X04000608",2
"1050","X05000608",2
"1051","X06000608",1
"1052","X07000608",1
"1053","X08000608",2
"1054","B2X3086",1
"1055","X01000808",2
"1056","X02000808",2
"1057","X03000808",1
"1058","X04000808",1
"1059","X05000808",2
"1060","X06000808",2
"1061","X07000808",2
"1062","X08000808",1
"1063","X09000808",1
"1064","B2X3493",1
"1065","B2X3790",1
"1066","B2X3791",2
"1067","B2X3792",1
"1068","B2X3793",1
"1069","B2X3794",2
"1070","B2X3795",1
"1071","B2X3796",2
"1072","B2X3797",2
"1073","B2X3798",2
"1074","B2X3799",2
"1075","B2X3068",2
"1076","X01001108",1
"1077","B2X3481",1
"1078","B2X3482",1
"1079","B2X3483",2
"1080","B2X3484",2
"1081","B2X3485",2
"1082","B2X3486",1
"1083","B2X3487",1
"1084","B2X3488",1
"1085","B2X3489",1
"1086","X01001208",2
"1087","B2X3781",1
"1088","B2X3782",2
"1089","B2X3783",2
"1090","B2X3784",2
"1091","B2X3785",2
"1092","B2X3786",2
"1093","B2X3787",1
"1094","B2X3788",1
"1095","B2X3789",1
"1096","X01001408",1
"1097","X02001408",2
"1098","X03001408",1
"1099","X04001408",1
"1100","X05001408",2
"1101","X06001408",1
"1102","X07001408",2
"1103","X08001408",1
"1104","X09001408",2
"1105","B2X3041",2
"1106","B2X3042",1
"1107","B2X3401",2
"1108","B2X3402",1
"1109","B2X3403",2
"1110","B2X3404",2
"1111","B2X3405",2
"1112","B2X3406",1
"1113","B2X3407",1
"1114","B2X3408",1
"1115","B2X3409",2
"1116","B2X3410",1
"1117","B2X3411",1
"1118","B2X3706",2
"1119","B2X3490",2
"1120","B2X3412",2
"1121","B2X3413",2
"1122","B2X3414",1
"1123","B2X3415",1
"1124","B2X3416",2
"1125","B2X3417",1
"1126","B2X3418",1
"1127","B2X3419",2
"1128","B2X3420",1
"1129","B2X3421",1
"1130","B2X3422",1
"1131","B2X3452",1
"1132","B2X3453",2
"1133","B2X3454",1
"1134","B2X3534",1
"1135","B2X3535",1
"1136","B2X3536",1
"1137","B2X3537",2
"1138","B2X3538",1
"1139","B2X3092",1
"1140","B2X3255",1
"1141","B2X3256",2
"1142","B2X3257",1
"1143","B2X3258",2
"1144","B2X3259",1
"1145","B2X3260",1
"1146","B2X3261",1
"1147","B2X3262",1
"1148","B2X3032",1
"1149","B2X3033",2
"1150","B2X3961",2
"1151","B2X3962",2
"1152","B2X3963",1
"1153","B2X3964",2
"1154","X03002808",2
"1155","X01002808",1
"1156","X02002808",2
"1157","X05003208",2
"1158","X06003208",1
"1159","X08003208",1
"1160","X09003208",1
"1161","X10003208",1
"1162","X03003208",2
"1163","X12003208",1
"1164","X01003308",1
"1165","X02003308",2
"1166","X04003308",2
"1167","X05003308",2
"1168","B2X3034",2
"1169","B2X3035",1
"1170","X04003408",1
"1171","B2X3965",2
"1172","B2X3966",2
"1173","B2X3967",2
"1174","X01003408",2
"1175","X02003408",2
"1176","X03003408",1
"1177","B2X3062",2
"1178","X01003508",2
"1179","X02003508",2
"1180","X03003508",2
"1181","B2X3527",2
"1182","B2X3528",2
"1183","B2X3529",1
"1184","B2X3530",2
"1185","B2X3531",1
"1186","B2X3532",2
"1187","B2X3533",1
"1188","B2X3064",1
"1189","B2X3065",2
"1190","B2X3518",2
"1191","B2X3519",2
"1192","B2X3520",2
"1193","B2X3521",1
"1194","B2X3522",2
"1195","B2X3523",1
"1196","B2X3524",2
"1197","B2X3525",2
"1198","B2X3526",2
"1199","B2X3037",2
"1200","B2X3038",1
"1201","X01004008",2
"1202","X02004008",1
"1203","X03004008",1
"1204","B2X3982",1
"1205","B2X3983",2
"1206","B2X3984",2
"1207","B2X3985",2
"1208","B2X3986",1
"1209","B2X3987",2
"1210","B2X3988",1
"1211","B2X3989",1
"1212","B2X3090",2
"1213","X01004108",1
"1214","X02004108",1
"1215","X03004108",1
"1216","B2X3247",2
"1217","B2X3248",1
"1218","B2X3249",2
"1219","B2X3250",2
"1220","B2X3251",1
"1221","B2X3252",2
"1222","B2X3253",1
"1223","B2X3254",1
"1224","B2X3574",2
"1225","B2X3075",2
"1226","B2X3455",2
"1227","B2X3456",1
"1228","B2X3457",1
"1229","B2X3458",1
"1230","B2X3459",1
"1231","B2X3460",2
"1232","B2X3461",2
"1233","B2X3462",2
"1234","B2X3463",1
"1235","B2X3464",1
"1236","B2X3310",2
"1237","B2X3311",2
"1238","B2X3312",2
"1239","B2X3313",2
"1240","B2X3314",2
"1241","B2X3315",1
"1242","B2X3316",1
"1243","B2X3317",1
"1244","B2X3318",1
"1245","B2X3319",2
"1246","X02005608",1
"1247","X03005608",2
"1248","X04005608",1
"1249","X05005608",2
"1250","X06005608",1
"1251","X07005608",2
"1252","X08005608",1
"1253","X09005608",1
"1254","X10005608",2
"1255","X11005608",1
"1256","X15005608",1
"1257","X16005608",1
"1258","B2X3495",1
"1259","B2X3050",1
"1260","B2X3051",2
"1261","B2X3052",1
"1262","B2X3053",2
"1263","B2X3054",1
