"year_","no","box1","box2"
2021,13,233,1
2021,13,233,2
2021,13,234,1
2021,13,234,2
2021,13,235,1
2021,13,235,2
2021,13,236,1
2021,13,236,2
2021,13,232,1
2021,13,232,2
2021,13,238,1
2021,13,238,2
2021,13,239,1
2021,13,239,2
2021,13,240,1
2021,13,240,2
2021,11,242,1
2021,11,242,2
2021,11,243,1
2021,11,243,2
2021,10,171,1
2021,10,171,2
2021,10,244,1
2021,10,244,2
2021,10,22,1
2021,10,22,2
2021,10,245,1
2021,10,245,2
2021,11,91,1
2021,11,91,2
2021,11,246,1
2021,11,246,2
2021,11,247,1
2021,11,247,2
2021,11,248,1
2021,11,248,2
2021,12,250,1
2021,12,250,2
2021,12,251,1
2021,12,251,2
2021,13,241,1
2021,13,241,2
2021,13,252,1
2021,13,252,2
2021,14,253,1
2021,14,253,2
2021,14,254,1
2021,14,254,2
2021,14,237,1
2021,14,237,2
2021,14,255,1
2021,14,255,2
2021,14,258,1
2021,14,258,2
2021,14,259,1
2021,14,259,2
2021,13,260,1
2021,13,260,2
2021,13,261,1
2021,13,261,2
2021,12,249,1
2021,12,249,2
2021,12,262,1
2021,12,262,2
2021,12,263,1
2021,12,263,2
2021,12,264,1
2021,12,264,2
2021,12,53,1
